epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.898,1.22662,2.62761,1.18768,0.86419,0.62489,0.79737,0.51077,1.15968,2.21603,1.02311,0.000410959,0.000410959,0.000410959
2,210.284,1.22816,1.61777,1.17867,0.82647,0.92418,0.9362,0.62591,1.10539,1.49521,1.16668,0.000800314,0.000800314,0.000800314
3,314.796,1.17999,1.49061,1.19775,0.74319,0.85578,0.90371,0.61478,1.17119,1.82638,1.29872,0.00116217,0.00116217,0.00116217
4,418.556,1.25859,1.48543,1.22005,0.91644,0.92062,0.94295,0.62738,1.14203,1.52485,1.22585,0.00112625,0.00112625,0.00112625
5,522.224,1.21456,1.33931,1.20815,0.92242,0.95225,0.97393,0.66184,1.10237,1.23886,1.1892,0.001085,0.001085,0.001085
6,626.544,1.16136,1.2644,1.20513,0.91851,0.96386,0.98168,0.68794,1.07088,1.12431,1.21225,0.00104375,0.00104375,0.00104375
7,731.304,1.16028,1.18332,1.20652,0.95662,0.93113,0.9682,0.69929,1.03622,1.08068,1.16652,0.0010025,0.0010025,0.0010025
8,835.198,1.10096,1.09182,1.15067,0.96978,0.98458,0.98342,0.6846,1.0508,0.94584,1.1547,0.00096125,0.00096125,0.00096125
9,939.172,1.11916,1.09677,1.20498,0.95894,0.96291,0.98428,0.69602,1.07819,0.91837,1.2394,0.00092,0.00092,0.00092
10,1043.09,1.11026,1.00359,1.18023,0.97272,0.95636,0.98562,0.71086,1.01737,0.85768,1.15184,0.00087875,0.00087875,0.00087875
11,1147.44,1.05357,0.93173,1.15478,0.98568,1,0.99455,0.70213,1.01983,0.76539,1.1436,0.0008375,0.0008375,0.0008375
12,1254.17,1.07422,0.88467,1.1545,0.95417,0.9768,0.98261,0.70538,1.02076,0.75152,1.13952,0.00079625,0.00079625,0.00079625
13,1357.17,1.05695,0.85745,1.13996,0.96635,0.99098,0.99326,0.7023,1.03003,0.75918,1.13139,0.000755,0.000755,0.000755
14,1461.52,1.0146,0.83605,1.11681,0.98225,0.97929,0.98241,0.71358,0.99627,0.69242,1.13168,0.00071375,0.00071375,0.00071375
15,1566.33,1.02707,0.81379,1.1417,0.98004,0.98104,0.98153,0.73894,0.96675,0.66519,1.13106,0.0006725,0.0006725,0.0006725
16,1672.11,1.01676,0.80097,1.13462,0.97434,0.97391,0.98597,0.75252,0.94532,0.62167,1.13091,0.00063125,0.00063125,0.00063125
17,1776.67,0.97648,0.73961,1.1053,0.96574,0.97744,0.97812,0.73045,0.99857,0.63359,1.14016,0.00059,0.00059,0.00059
18,1879.88,0.97622,0.73694,1.10527,0.99003,0.99458,0.9924,0.73763,0.9591,0.58544,1.13566,0.00054875,0.00054875,0.00054875
19,1982.87,0.92678,0.71396,1.07829,0.98411,0.99519,0.99179,0.75516,0.90675,0.56201,1.10926,0.0005075,0.0005075,0.0005075
20,2086.2,0.9439,0.69558,1.0943,0.97672,0.99038,0.99154,0.74638,0.91592,0.57219,1.11292,0.00046625,0.00046625,0.00046625
21,2187.6,0.81873,0.62663,1.03064,0.98328,0.99503,0.98976,0.73158,0.95633,0.58635,1.14046,0.000425,0.000425,0.000425
22,2288.39,0.81331,0.59045,1.00824,0.98365,0.99371,0.9915,0.7176,0.93924,0.55656,1.11951,0.00038375,0.00038375,0.00038375
23,2388.2,0.79275,0.56252,1.00668,0.98918,0.98665,0.99082,0.739,0.94135,0.54402,1.11854,0.0003425,0.0003425,0.0003425
24,2499,0.76958,0.5422,1.00646,0.98791,0.99075,0.99097,0.75121,0.91609,0.53726,1.10347,0.00030125,0.00030125,0.00030125
25,2610.98,0.7733,0.5379,1.00488,0.994,0.99828,0.995,0.76006,0.90134,0.51104,1.09521,0.00026,0.00026,0.00026
26,2712.55,0.74866,0.52134,0.97673,0.98834,0.99229,0.99245,0.74569,0.93321,0.51043,1.11136,0.00021875,0.00021875,0.00021875
27,2814.68,0.74176,0.5046,0.98396,0.99451,0.99738,0.995,0.73803,0.92363,0.50038,1.09497,0.0001775,0.0001775,0.0001775
28,2915.21,0.71937,0.49285,0.99361,0.98778,0.99238,0.99219,0.75609,0.89007,0.4899,1.08908,0.00013625,0.00013625,0.00013625
29,3015.54,0.72103,0.48638,0.96993,0.98847,0.99238,0.99189,0.76583,0.88657,0.4816,1.09811,9.5e-05,9.5e-05,9.5e-05
30,3117.83,0.69843,0.46833,0.96533,0.98967,0.99202,0.99211,0.76718,0.8807,0.48176,1.09222,5.375e-05,5.375e-05,5.375e-05
