epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.806,1.27453,2.79796,1.27541,0.83076,0.49867,0.65795,0.46013,0.99092,2.44038,1.06766,0.000410798,0.000410798,0.000410798
2,384.978,1.19579,2.11324,1.25321,0.75886,0.86839,0.92602,0.60714,1.0582,1.83228,1.13873,0.000800158,0.000800158,0.000800158
3,574.428,1.28803,1.94208,1.27955,0.73283,0.89227,0.85647,0.55696,1.12323,1.59512,1.15894,0.00116202,0.00116202,0.00116202
4,760.305,1.27948,1.70067,1.24857,0.7789,0.89707,0.91278,0.56614,1.13526,1.55928,1.14965,0.00112625,0.00112625,0.00112625
5,941.436,1.23237,1.55539,1.22396,0.86392,0.92419,0.95109,0.63455,1.04935,1.41148,1.11882,0.001085,0.001085,0.001085
6,1119.61,1.19309,1.45959,1.20857,0.78448,0.8813,0.96902,0.65289,1.05129,1.47983,1.10059,0.00104375,0.00104375,0.00104375
7,1296.54,1.1686,1.30523,1.19246,0.96254,0.98553,0.97908,0.67005,1.01395,1.09303,1.07325,0.0010025,0.0010025,0.0010025
8,1472.7,1.23405,1.29446,1.22954,0.94278,0.98689,0.98377,0.6653,1.02713,1.03833,1.12087,0.00096125,0.00096125,0.00096125
9,1648.69,1.15931,1.22297,1.20973,0.93405,0.98159,0.98178,0.66415,1.04018,0.96979,1.10016,0.00092,0.00092,0.00092
10,1830.19,1.11123,1.06566,1.16386,0.96539,0.99226,0.9818,0.68812,0.9796,0.85469,1.05094,0.00087875,0.00087875,0.00087875
11,2005.39,1.10315,1.07182,1.1639,0.93306,0.97134,0.97581,0.66869,1.02279,0.88479,1.06431,0.0008375,0.0008375,0.0008375
12,2182.09,1.08565,1.06363,1.14209,0.94378,0.96458,0.97943,0.66168,1.06861,0.87529,1.08793,0.00079625,0.00079625,0.00079625
13,2359.02,1.05091,0.97321,1.14042,0.96717,0.97718,0.97333,0.69394,0.99356,0.72768,1.03846,0.000755,0.000755,0.000755
14,2534.04,1.05743,0.92979,1.12688,0.97518,0.99052,0.97934,0.70969,0.95413,0.69257,1.02748,0.00071375,0.00071375,0.00071375
15,2711.53,1.03794,0.90974,1.11017,0.95964,0.9851,0.98618,0.70363,0.94699,0.72044,1.03062,0.0006725,0.0006725,0.0006725
16,2894.25,1.04177,0.91564,1.13141,0.96727,0.99291,0.98873,0.70038,0.94567,0.68528,1.03713,0.00063125,0.00063125,0.00063125
17,3067.89,1.0137,0.85071,1.1091,0.9617,0.98866,0.98938,0.70615,0.91761,0.64984,1.02457,0.00059,0.00059,0.00059
18,3245.84,0.98322,0.82752,1.10539,0.97762,0.99244,0.98801,0.71455,0.93435,0.6034,1.02312,0.00054875,0.00054875,0.00054875
19,3423.39,1.02672,0.81775,1.12261,0.97187,0.99638,0.99091,0.71396,0.96132,0.61332,1.02487,0.0005075,0.0005075,0.0005075
20,3602.32,1.00144,0.80713,1.08982,0.96836,0.994,0.98885,0.69618,0.97928,0.61543,1.04029,0.00046625,0.00046625,0.00046625
21,3774.45,0.87754,0.71871,1.0235,0.97116,0.98806,0.97895,0.71506,0.9287,0.59178,0.99473,0.000425,0.000425,0.000425
22,3946.99,0.84994,0.69262,1.01997,0.97813,0.9959,0.98436,0.728,0.88731,0.5593,1.00164,0.00038375,0.00038375,0.00038375
23,4119.93,0.83362,0.66127,1.02469,0.97427,0.99638,0.98804,0.73181,0.90437,0.56182,1.00815,0.0003425,0.0003425,0.0003425
24,4292.15,0.83737,0.65342,1.04051,0.97537,0.99387,0.99014,0.71803,0.92639,0.57554,1.0222,0.00030125,0.00030125,0.00030125
25,4466.44,0.81491,0.62082,1.01146,0.97542,0.99638,0.98703,0.72102,0.90662,0.54111,1.00415,0.00026,0.00026,0.00026
26,4638.29,0.80505,0.61637,0.98925,0.97716,0.99638,0.98898,0.7162,0.92162,0.53884,1.01052,0.00021875,0.00021875,0.00021875
27,4809.5,0.80274,0.58704,0.9885,0.98295,0.99638,0.9865,0.73305,0.87435,0.51071,0.98901,0.0001775,0.0001775,0.0001775
28,4979.42,0.77135,0.57897,0.97776,0.98082,0.99586,0.98902,0.72527,0.88027,0.50413,0.99351,0.00013625,0.00013625,0.00013625
29,5152.23,0.77657,0.57217,0.97766,0.98015,0.99566,0.98962,0.72198,0.88882,0.50462,0.99704,9.5e-05,9.5e-05,9.5e-05
30,5325.37,0.7515,0.5537,0.97307,0.97927,0.99576,0.98864,0.72944,0.88381,0.50531,0.99324,5.375e-05,5.375e-05,5.375e-05
